subcategory_slug;subcategory_name;category_slug;description;image_url;display_order
diseno-web;Diseño de Sitios Web;logo-web-social;Diseño y desarrollo de páginas web;/images/subcategories/diseno-web.jpg;2
diseno-redes-sociales;Diseño para Redes Sociales;logo-web-social;Contenido gráfico para social media;/images/subcategories/diseno-redes-sociales.jpg;3
identidad-corporativa;Identidad Corporativa;logo-web-social;Branding y manual de marca completo;/images/subcategories/identidad-corporativa.jpg;4
diseno-grafico;Diseño Gráfico General;servicios-diseno;Servicios generales de diseño;/images/subcategories/diseno-grafico.jpg;1
diseno-packaging;Diseño de Packaging;servicios-diseno;Diseño de empaques y etiquetas;/images/subcategories/diseno-packaging.jpg;2
diseno-editorial;Diseño Editorial;servicios-diseno;Diseño de libros revistas y catálogos;/images/subcategories/diseno-editorial.jpg;3
diseno-publicitario;Diseño Publicitario;servicios-diseno;Diseño de campañas publicitarias;/images/subcategories/diseno-publicitario.jpg;4
ofertas-stickers;Ofertas en Stickers;black-friday;Descuentos especiales en stickers;/images/subcategories/ofertas-stickers.jpg;1
ofertas-ropa;Ofertas en Ropa;black-friday;Descuentos en prendas personalizadas;/images/subcategories/ofertas-ropa.jpg;2
ofertas-tarjetas;Ofertas en Tarjetas;black-friday;Promociones en tarjetas de presentación;/images/subcategories/ofertas-tarjetas.jpg;3
ofertas-promocionales;Ofertas en Productos Promocionales;black-friday;Descuentos en artículos promocionales;/images/subcategories/ofertas-promocionales.jpg;4
paquetes-black-friday;Paquetes Black Friday;black-friday;Combos especiales con descuento;/images/subcategories/paquetes-black-friday.jpg;5
tarjetas-navidad-clasicas;Tarjetas Navideñas Clásicas;tarjetas-navidad;Tarjetas tradicionales de Navidad;/images/subcategories/tarjetas-navidad-clasicas.jpg;1
tarjetas-ano-nuevo;Tarjetas de Año Nuevo;tarjetas-navidad;Tarjetas para celebrar el nuevo año;/images/subcategories/tarjetas-ano-nuevo.jpg;2
tarjetas-empresariales;Tarjetas Empresariales Navideñas;tarjetas-navidad;Tarjetas corporativas para fin de año;/images/subcategories/tarjetas-empresariales.jpg;3
tarjetas-otras-festividades;Otras Festividades;tarjetas-navidad;Tarjetas para diferentes celebraciones;/images/subcategories/tarjetas-otras-festividades.jpg;4
calendarios-pared;Calendarios de Pared;calendarios-regalos;Calendarios grandes para colgar;/images/subcategories/calendarios-pared.jpg;1
calendarios-escritorio;Calendarios de Escritorio;calendarios-regalos;Calendarios compactos para mesa;/images/subcategories/calendarios-escritorio.jpg;2
agendas-personalizadas;Agendas Personalizadas;calendarios-regalos;Agendas y planners customizados;/images/subcategories/agendas-personalizadas.jpg;3
libretas-cuadernos;Libretas y Cuadernos;calendarios-regalos;Cuadernos personalizados;/images/subcategories/libretas-cuadernos.jpg;4
regalos-corporativos;Regalos Corporativos;calendarios-regalos;Sets de regalo para empresas;/images/subcategories/regalos-corporativos.jpg;5
